RefSeq mRNA	UniProt Gene Name	Strand	Associated Gene Name
		-1	AC123768.6
		1	AC087457.1
		1	AC015994.1
		-1	AC019016.1
		-1	AC087473.1
		1	AC012377.1
		1	AC021755.4
		1	AC025166.1
		1	AC012652.1
		1	AC012652.1
		1	AC090510.1
		1	AC022087.1
		1	AC022087.1
		-1	AC021752.1
		1	AC023906.1
		-1	AC018926.1
		1	AC016525.1
		1	AC016525.1
		1	AC016525.1
		-1	AC090515.1
		1	AC087385.1
		1	AC087632.1
		1	AC013564.1
		1	AC087482.1
		-1	AC009292.1
		1	AC100826.1
		-1	AC087699.1
		-1	AC010931.2
		1	AC012435.1
		-1	AC019294.4
		-1	AC090984.1
		1	AC139425.1
		1	AC105339.1
		-1	AC022558.1
		1	AC103876.1
		-1	AC013489.2
		1	AC133637.1
		1	AC133637.1
		1	AC133637.1
		1	AC021422.1
		-1	AC016251.2
		-1	AC087477.1
		-1	AC024651.1
		-1	AC024651.1
		1	AC015712.1
		-1	AC090164.1
		-1	AL589182.1
		1	AL136040.2
		-1	AL161669.2
		-1	AC005908.1
		-1	AC078819.1
		-1	AC079316.1
		-1	AC090670.1
		-1	AC084018.1
		-1	BX255925.1
		-1	BX255925.2
		-1	AL365502.1
		1	AL358976.1
		1	AL589675.1
		-1	BX664615.1
		-1	BX664615.1
		1	AL353626.2
		1	CR786580.1
		1	AL591385.2
		1	AC125634.1
		-1	AL591479.1
		1	AL671309.1
		1	AL354733.1
		-1	AL445670.1
		1	AL353805.1
		-1	AL161791.1
		1	AL691420.1
		-1	AL513122.1
		1	AL359636.1
		-1	AL593851.1
		1	AL355574.1
		1	AL138781.1
		1	CR392000.2
		1	AC069271.1
		1	AC134943.1
		-1	AC099545.2
		-1	AC108724.1
		1	AC107204.1
		1	AC091804.1
		1	AC068765.1
		1	AC124945.1
		-1	AC112484.1
		-1	AC069259.1
		1	AC078799.1
		1	AC007920.1
		1	AC069213.1
		-1	AL732366.1
		-1	AC117517.1
		1	AL034397.1
		1	AL034397.1
		1	BX276092.5
		-1	BX276092.4
		-1	AL136362.1
		-1	AC003983.1
		-1	AL589842.1
		-1	FMR1-AS1
		-1	FMR1-AS1
		1	AL158139.1
		1	AL136307.2
		-1	AL031123.2
		1	AL031123.1
		1	AL031780.1
		-1	AL024498.1
		-1	AL034372.1
		1	AL121936.3
		1	AL009179.1
		1	AL009179.2
		1	AL669918.1
		-1	AL139044.1
		-1	AL158035.1
		-1	AL590303.1
		-1	AL356534.1
NM_001195597		1	AL109938.1
		1	AL109755.1
		-1	AL590482.2
		1	AL627443.1
		1	AL022069.1
		-1	AC120498.2
		-1	AC108134.5
		-1	AC108134.4
		-1	AC009171.1
